slug,name,category,area,district,verification,moments,best_for,onboard_link,whatsapp_en,whatsapp_ru
drifter-surf-cafe,Drifter Surf Shop & Cafe,cafe,"Uluwatu (Jl. Labuansait), Bukit",uluwatu-bukit,unverified,"a slow morning, a work session",post-surf refuel; healthy breakfast; specialty coffee; browsing surf gear over a long lunch,https://otherbali.com/onboard/{TOKEN},"Hi Drifter Surf Shop & Cafe team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning / a work session to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Drifter Surf Shop & Cafe 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро / рабочую сессию. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
expat-roasters,Expat. Roasters,cafe,Seminyak (Petitenget),seminyak,unverified,"a work session, a slow morning",serious coffee lovers; single-origin tasting; laptop-friendly morning work; buying beans and brew gear,https://otherbali.com/onboard/{TOKEN},"Hi Expat. Roasters team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a work session / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Expat. Roasters 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: рабочую сессию / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
home-by-chef-wayan,HOME by Chef Wayan,restaurant,"Pererenan, Canggu",canggu,unverified,"a special occasion, a midday reset, a late dinner","a considered balinese dinner; introducing someone to indonesian flavours done well; a table mixing meat, seafood and vegan diners",https://otherbali.com/onboard/{TOKEN},"Hi HOME by Chef Wayan team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a special occasion / a midday reset / a late dinner to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда HOME by Chef Wayan 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: особый повод / дневную паузу / поздний ужин. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
hungry-bird-coffee,Hungry Bird Coffee Roaster,cafe,"Tibubeneng, Canggu",canggu,unverified,"a slow morning, a work session",coffee-led brunch; laptop work and long stays; post-surf breakfast; buying house-roasted beans,https://otherbali.com/onboard/{TOKEN},"Hi Hungry Bird Coffee Roaster team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning / a work session to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Hungry Bird Coffee Roaster 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро / рабочую сессию. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
melting-wok-warung,Melting Wok Warung,restaurant,Ubud (Jl. Gootama),ubud,unverified,"a special occasion, a midday reset, a late dinner",an intimate dinner; herb-forward coconut curries; a short curated menu; foodies after fusion flavour,https://otherbali.com/onboard/{TOKEN},"Hi Melting Wok Warung team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a special occasion / a midday reset / a late dinner to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Melting Wok Warung 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: особый повод / дневную паузу / поздний ужин. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
menega-cafe,Menega Cafe,restaurant,Jimbaran (Muaya Beach),jimbaran,unverified,"golden hour, a late dinner, a special occasion",beachfront seafood dinner; sunset over the bay; groups sharing a seafood spread; special evening out,https://otherbali.com/onboard/{TOKEN},"Hi Menega Cafe team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for golden hour / a late dinner / a special occasion to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Menega Cafe 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: закатный час / поздний ужин / особый повод. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
motel-mexicola,Motel Mexicola,restaurant,"Jl. Kayu Jati, Petitenget (Seminyak)",seminyak,unverified,"a late dinner, golden hour, a midday reset",group night out; birthdays and celebrations; loud and social dinner; cocktails and dancing,https://otherbali.com/onboard/{TOKEN},"Hi Motel Mexicola team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a late dinner / golden hour / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Motel Mexicola 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: поздний ужин / закатный час / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
saigon-street,Saigon Street,restaurant,"Jl. Petitenget, Seminyak",seminyak,unverified,"a special occasion, a late dinner, a midday reset",shared plates with cocktails; lively date night; group dinner out; a design-led dinner setting,https://otherbali.com/onboard/{TOKEN},"Hi Saigon Street team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a special occasion / a late dinner / a midday reset to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Saigon Street 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: особый повод / поздний ужин / дневную паузу. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
secret-spot-bali,Secret Spot,cafe,Canggu (Jl. Tanah Barak),canggu,unverified,"a slow morning, a work session",vegan breakfast and brunch; plant-based croissants and pastries; island-roasted coffee; relaxed all-day dining,https://otherbali.com/onboard/{TOKEN},"Hi Secret Spot team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning / a work session to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Secret Spot 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро / рабочую сессию. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
the-cashew-tree,The Cashew Tree,cafe,"Bingin, Uluwatu (Bukit)",uluwatu-bukit,unverified,a slow morning,post-surf brunch near bingin; healthy plant-forward meal; laid-back live-music night; casual group hang,https://otherbali.com/onboard/{TOKEN},"Hi The Cashew Tree team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда The Cashew Tree 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
the-loft-bali,The Loft,cafe,"Batu Bolong, Canggu",canggu,unverified,"a slow morning, a work session",a slow brunch after the beach; specialty coffee and a laptop; plant-based and healthy breakfast eaters,https://otherbali.com/onboard/{TOKEN},"Hi The Loft team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning / a work session to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда The Loft 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро / рабочую сессию. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
vincent-nigita,Vincent Nigita,cafe,"Seminyak (Jl. Petitenget, Kanvaz resort)",seminyak,unverified,a slow morning,afternoon pastry and tea; a sweet treat with care; a calm indulgent pause; a special sweet moment,https://otherbali.com/onboard/{TOKEN},"Hi Vincent Nigita team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Vincent Nigita 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
warung-wardani,Warung Wardani,warung,Denpasar (Jl. Yudistira),denpasar,unverified,"a midday reset, a slow morning",authentic Balinese nasi campur; quick local lunch; halal Balinese food; solo or budget dining,https://otherbali.com/onboard/{TOKEN},"Hi Warung Wardani team 👋 This is Selena from Other Bali — a resident-curated guide that helps travellers pick the right place for the moment they're in.\n\nWe've already built your Other Bali page — nothing to fill in from scratch. Would it be okay if I sent it so you can check it?\n\nYour page routes travellers looking for a midday reset / a slow morning to you. A ~2-minute check when you have a sec:\n1) confirm it's your place,\n2) tick who you're best for,\n3) add 1–3 photos you're happy for us to show.\n\nHere it is: https://otherbali.com/onboard/{TOKEN}\n\nNo cost, no catch — just your listing, done right. 🌴","Здравствуйте, команда Warung Wardani 👋 Это Селена из Other Bali — резидентский гид, который помогает путешественникам выбрать правильное место под момент.\n\nМы уже собрали вашу страницу в Other Bali — заполнять с нуля ничего не нужно. Можно, я её пришлю, чтобы вы проверили?\n\nВаша страница направляет к вам тех, кто ищет: дневную паузу / медленное утро. Проверка на ~2 минуты, когда будет удобно:\n1) подтвердить, что это ваше заведение,\n2) отметить, кому вы лучше всего подходите,\n3) добавить 1–3 фото, которые вы готовы показывать.\n\nВот она: https://otherbali.com/onboard/{TOKEN}\n\nБесплатно и без подвоха — просто ваш листинг, сделанный правильно. 🌴"
