district,resort,venue_or_product,star,product_type,product_type_norm,price,monetize,booking_channel,audience,whats_included,hours,honest_note,source,accessed
Nusa Dua,The Laguna (Luxury Collection),Arwana (beachfront seafood),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope,couples/luxury/honeymoon,beachfront seafood/international,11:00-23:00,non-guest via Chope,chope.co arwana-laguna,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Beach & Pool Day Pass,5,day_pass,day_pass,"IDR 450,000 net/adult; child 6-12 225,000; <6 free [BLOG]",COVERAGE,direct/WhatsApp (not on DayPass),families/couples,"pool+beach, spa facilities+25% off, gym, towels, kids club, WiFi",24h advance,Accor Handwritten; NOT Merusaka; 2 blogs corroborate,rollingalongwithkids.com,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Tetaring Balinese buffet+dance dinners,5,brunch,brunch,[NO DATA],SEATED,direct/phone/WhatsApp,families/couples/CN-JP-IN,Balinese dinner buffet + dance; Seafood BBQ & Fire Dance nights,evening,nightly cultural buffets (not Sunday-only),nusaduahotel.com balinese-fusion-buffet,2026-07-19
Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Raja's Balinese (+ Tetaring),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,WhatsApp only,families/couples,Balinese (Raja's); Indonesian (Tetaring),"Raja's Mon-Fri 08-20, Sun 08-18",Raja's/Tetaring belong here NOT Merusaka,nusaduahotel.com rajas,2026-07-19
Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Pool Day Pass,5,day_pass,day_pass,"IDR 200,000 net/person; <5 free [BLOG]",COVERAGE,WhatsApp (direct),families,main pool; FoamTastic foam parties Wed & Sun 16-19,07:00-19:00,"Merusaka = ex-INAYA Putri Bali (2021), NOT ex-Nusa Dua Beach Hotel",rollingalongwithkids.com,2026-07-19
Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Gading/Homaya/Ja'Jan + Paradise Beach Club,5,resort_restaurant,resort_restaurant,"a la carte [NO DATA]; Escape to Romance beachside dining from IDR 2,650,000/couple [OFFICIAL]",SEATED,direct/website/WhatsApp,families/couples/luxury,multiple restaurants + beach club,[NO DATA],restaurants are Gading/Homaya/Ja'Jan,merusaka.com,2026-07-19
Nusa Dua,Ayodya Resort Bali,Day Pass,5,day_pass,day_pass,"IDR 150,000 net/adult; child 75,000 [BLOG]",COVERAGE,WhatsApp/official (direct),families/CN-JP-IN packages,"pool + lounge chair, towel, kids club, IDR 100,000 spa voucher",10:00-23:00,~150k anchor; official page 404/429,rollingalongwithkids.com,2026-07-19
Nusa Dua,Ayodya Resort Bali,Sunday brunch,5,brunch,brunch,[NO DATA],SEATED,[NO DATA],families,none; a la carte + themed dinners only,[NO DATA],Dinner by the Waves only,ayodyaresortbali.com dining,2026-07-19
Nusa Dua,Ayodya Resort Bali,"Beach Club & Grill (+GENJI, Ganesha, Waterfall)",5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,WhatsApp only,families/CN-JP-IN packages,beachfront grill; GENJI JP teppanyaki; Ganesha Indian; Waterfall Balinese,11:00-23:00,dedicated Indian+JP outlets = tour market,ayodyaresortbali.com dining,2026-07-19
Nusa Dua,"Amarterra Villas (Autograph, ex-MGallery)",Day pass,5,day_pass,day_pass,[NO DATA],COVERAGE,none found,couples/honeymoon,no public day pass found,[NO DATA],all-villa resort,marriott.com amarterra dining,2026-07-19
Nusa Dua,"Amarterra Villas (Autograph, ex-MGallery)",Maja + Amarterra by The Bay + Pool Terrace,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope + Marriott + WhatsApp,couples/honeymoon/luxury,Maja Asian-fusion all-day; beach club; Pool Terrace tapas,Maja 06:30-23:00; beach club 09-18,rebrand MGallery->Autograph,chope.co maja-amarterra,2026-07-19
Nusa Dua,Courtyard by Marriott Nusa Dua,Day pass,4,day_pass,day_pass,[NO DATA],COVERAGE,none,families/couples,no day-use product,[NO DATA],confirmed no day pass,marriott.com courtyard dining,2026-07-19
Nusa Dua,Courtyard by Marriott Nusa Dua,MoMo Cafe (all-day) + afternoon tea,4,resort_restaurant,resort_restaurant,"MoMo 2 Go afternoon tea IDR 100,000/pax [OFFICIAL]; meals a la carte [NO DATA]",SEATED,direct,families/couples,all-day dining by lagoon; swim-up pool bar; beachfront bistro,MoMo 06:30-22:00; tea 14-17,casual not fine-dining,marriott.com courtyard dining,2026-07-19
Nusa Dua,Club Med Bali,All-Inclusive Day Pass,4-5,day_pass,day_pass,Day AUD 127.85 adult; Day+Eve AUD 213.09; ~IDR 1.26-1.57M/adult [BLOG],COVERAGE,Klook (channel taken); passport required,families,"buffet lunch (+dinner full), free-flow incl alcohol, all sports, Kids Club, pools, beach",Day 10-18 / Eve 18-24 / Full 10-24,highest-search Bali day pass,rollingalongwithkids.com,2026-07-19
Tanjung Benoa,Conrad Bali,Daycation Day Pass,5,day_pass,day_pass,"IDR 300,000++/adult [BLOG]; kids 50%",COVERAGE,Daycation app (channel taken),families/luxury,"lagoon pool, beach, lounger, bale, free bicycle & canoe, F&B credit",08:00-18:00,F&B credit conflict 150k vs 200k,daycationapp.com conrad-bali,2026-07-19
Tanjung Benoa,Conrad Bali,Eight Degrees South (signature beachfront),5,resort_restaurant,resort_restaurant,"a la carte IDR 35,000-1,100,000+ per item (+21%) [OFFICIAL]",SEATED,TableCheck + email,couples/luxury,"signature seafood & steaks, ocean views, 80 seats",lunch 11:30-17; dinner 18-22,item-level prices,hilton.com conrad eight-degrees-south,2026-07-19
Tanjung Benoa,Conrad Bali,Rin (Japanese),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck + email,couples/luxury/JP,traditional & modern Japanese,[NO DATA],via TableCheck,tablecheck conrad-bali-rin,2026-07-19
Benoa,Novotel Bali Benoa,Day Pass,4,day_pass,day_pass,"IDR 225,000 nett/adult [OFFICIAL]; kids 0-12 free, 12-16 50%",COVERAGE,direct WhatsApp (official); DayPass; Megatix,families/couples,"IDR 100,000 F&B credit, 10% spa, 1h canoe, 1h paddleboard, lounger+towel, Fri yoga, beach/pool/gym",07:00-19:00,official; not channel-locked,novotelbalibenoa.com day-pass,2026-07-19
Benoa,Novotel Bali Benoa,Uluwatu Restaurant + Nanas Bar,4,resort_restaurant,resort_restaurant,[NO DATA],SEATED,direct/WhatsApp,families/couples,main buffet (breakfast + thematic dinners); beach restaurant & bar,Uluwatu dinners Tue/Thu/Fri,"casual; ""The Square"" is Novotel Nusa Dua not Benoa",novotelbalibenoa.com eat-drink,2026-07-19
Tanjung Benoa,Hotel Nikko Bali Benoa Beach,Nikko Day Pass,5,day_pass,day_pass,"IDR 250,000 net/adult (12+); <12 free [BLOG]",COVERAGE,WhatsApp (direct); official page exists,families/couples/luxury; JP-CN,"IDR 150,000 F&B credit; lagoon pool, gym, beach; locker/shower/towel; WiFi",08:00-17:00,official page 403; blog-sourced,rollingalongwithkids.com,2026-07-19
Tanjung Benoa,Hotel Nikko Bali Benoa Beach,Giorgio (Italian signature),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,direct/phone (no online),luxury/couples; JP-CN,Italian fine dining signature,daily exc Tue 17:00-22:30,signature,hotelnikkobali dining,2026-07-19
Tanjung Benoa,Hotel Nikko Bali Benoa Beach,NAGISA Izakaya (Japanese),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,direct/phone,JP-CN packages/couples,Japanese izakaya; robata & teppanyaki,Tue-Sun 17:00-23:00,caters to Japanese,hotelnikkobali dining,2026-07-19
Tanjung Benoa,Holiday Inn Resort Bali Benoa,Fun Day Pass,4,day_pass,day_pass,"IDR 250,000 net/person; <12 free [OFFICIAL]",COVERAGE,WhatsApp (official); DayPass app,families,"IDR 150,000 F&B credit; all-day pools, kids club, gym",all-day,"official; ""Benoa"" legacy name",balinusadua.holidayinnresorts.com fun-day-pass,2026-07-19
Tanjung Benoa,Holiday Inn Resort Bali Benoa,Nudi's Beach Bar & Restaurant,4,resort_restaurant,resort_restaurant,[NO DATA],SEATED,direct (no online),families/couples,"beachfront intl restaurant/bar, ocean views",11:00-22:00,closest to signature,ihg.com holidayinnresorts dpsbb dining,2026-07-19
Tanjung Benoa,The Sakala Resort Bali,Sakala Beach Club Day Pass,5,day_pass,day_pass,"adult IDR 290,000; child <12 170,000 [BLOG]",COVERAGE,direct call/email; Klook listing,couples/families/luxury/expats,"welcome cocktail + IDR 100,000 F&B voucher + towel + WiFi; infinity pool, swim-up bar, beach",09:00-22:00,channel partly on Klook,bestbeachclubsbali.com sakala,2026-07-19
Tanjung Benoa,The Sakala Resort Bali,Sakala Beach Club (beachfront dining),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope + TableCheck + phone,couples/honeymoon/luxury/expats,beachfront seafood/intl; sunset dining,~09:00-22:00,signature non-guest outlet,chope.co sakala-beach-club,2026-07-19
Tanjung Benoa,The Royal Santrian,Day Dream day package,5,day_pass,day_pass,"IDR 1,000,000 nett/person [OFFICIAL]",COVERAGE,direct (form/phone/WhatsApp); DayPass,couples/honeymoon/luxury,"1 watersport (jet ski/parasail/banana), lunch at AllSpice, 30-min massage, pool/bicycle/canoe",12:00-16:00,official; advance res required,santrian.com royal-santrian day-dream,2026-07-19
Nusa Dua,The Ritz-Carlton Bali,Missoni Resort Club (day-club access),5,day_pass,day_pass,[NO DATA],COVERAGE,SevenRooms / phone,luxury/couples/families,"beach/day club, pool & beach access; Mediterranean dining",12:00-22:30,ex-La Baruna; now Missoni Resort Club,ritzcarlton.com dpssw dining,2026-07-19
Nusa Dua,The Ritz-Carlton Bali,Sunday brunch (Senses/Beach Grill),5,brunch,brunch,[NO DATA],SEATED,email/phone,luxury/families/couples,reviews reference a Sunday brunch; official shows Senses as breakfast only,[NO DATA],existence per TripAdvisor; verify,tripadvisor ritz-carlton-bali,2026-07-19
Nusa Dua,The Ritz-Carlton Bali,Bejana (Indonesian fine dining signature),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,SevenRooms + Chope + phone,luxury/couples/honeymoon,cliff-top Indonesian fine dining; chef's table,daily 18:00-22:30,signature; Bejana is Ritz-Carlton's,ritzcarlton.com dpssw dining,2026-07-19
Nusa Dua,The Ritz-Carlton Bali,The Beach Grill (signature beachfront),5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,SevenRooms + phone,luxury/couples/families,"beachfront grill/seafood, ocean views",daily 12:00-22:30,second signature outlet,ritzcarlton.com dpssw dining,2026-07-19
Nusa Dua,Samabe Bali Suites & Villas,Day Pass with Lunch,5,day_pass,day_pass,[NO DATA] (Klook JS-gated),COVERAGE,Klook (channel taken),couples/honeymoon/luxury,"3-course lunch in private gazebo; watersports (catamaran, volleyball, Jenga); pool/beach",[NO DATA],exists on Klook; price not retrievable,klook.com samabe day-pass,2026-07-19
Nusa Dua,CANNA Nusa Dua (standalone day club),Daybed min-spend seating,n/a,day_pass,day_pass,"Deck Daybed from IDR 550,000 min-spend(1)/1,000,000(2); Pool Deck 850,000(1)/1,500,000(2); Sands Cabana 2,000,000(4) ++ [BLOG]",COVERAGE,TableCheck + Klook/GYG/Traveloka,couples/families/luxury/expats/CN-JP,no flat entry; min-spend F&B; ~5h; infinity pools+beach+snorkelling,10:00-22:00,standalone day club NOT a hotel,elsky-bali.com canna,2026-07-19
Tanjung Benoa,Grand Mirage Resort & Thalasso,day pass,5,day_pass,day_pass,[NO DATA] / likely discontinued [LEGACY],COVERAGE,Klook listing dead; official overnight-only,families/couples/AU-CN packages,if existed: 6 pools + beach + all-inclusive F&B,[NO DATA],treat as discontinued,rollingalongwithkids.com,2026-07-19
Tanjung Benoa,Sadara Boutique Beach Resort,Santai Beach House (beachfront),4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope,couples/honeymoon,beachfront Indonesian/intl,[NO DATA],non-guest via Chope; resort has no found day pass,chope.co santai-beach-house,2026-07-19
Nusa Dua,Renaissance Bali Nusa Dua,Steaksmith / Lion X / Tanah Liat / Backstage,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope + WhatsApp,couples/families/business,Steaksmith steakhouse; Lion X Chinese dim sum; Tanah Liat seafood; Backstage intl,Steaksmith 18-22:30; Lion X 12-15 & 18-22:30,Chope for several outlets; no day pass found,marriott.com renaissance dining,2026-07-19
Sanur,Andaz Bali,Day Pass (via Fisherman's Club),5,day_pass,day_pass,"IDR 700,000++ adult (incl 350k F&B credit); child 6-12 350k++; <6 free [OFFICIAL]",COVERAGE,Hotel direct/phone/TableCheck,families/couples/luxury,"pool+beach, towel, F&B credit",dining 10:00-18:00,CONFLICT: blog lists cheaper 250k++ tier — reconcile,hyatt.com andaz fishermans-club,2026-07-19
Sanur,Hyatt Regency Bali,Resort Day Pass,5,day_pass,day_pass,"~IDR 250,000++ min F&B spend at Pizzaria (NOT a formal pass) [VERIFIED Jul-2026]",COVERAGE,Walk-in,families/couples,3 pools + towel,09:00-18:00,"No bookable day pass / not on DayPass app; ~250k++ min spend at Pizzaria, pool access at hotel discretion. Verified Jul-2026.",balibuddies.com day-passes,2026-07-19
Sanur,Griya Santrian,"""Fun Under the Sun"" Day Pass",4,day_pass,day_pass,"IDR 500,000 nett (incl 475k F&B credit) [OFFICIAL]",COVERAGE,website form/email/phone/WhatsApp,families/couples,"pool, gym, beach daybeds, towel, wifi",[NO DATA],Near full credit-back (~25k net) — strong SEO candidate,santrian.com fun-under-the-sun,2026-07-19
Sanur,Prama Sanur Beach,Pool/Super Day Pass,5,day_pass,day_pass,"IDR 150,000++ min-spend/adult, kids<12 free [BLOG]; official [NO DATA]",COVERAGE,pramahotels.com booking engine,families,pool + water slides,[NO DATA],Min-spend model not flat ticket; official price hidden,rollingalongwithkids.com,2026-07-19
Sanur,Segara Village (Byrd House Beach Club),Free beach-club entry,4,day_pass,day_pass,"FREE — no entry, no min-spend [BLOG]",COVERAGE,Walk-in; daybed byrdhousebali.com,families/couples/expats,"infinity pool, in-pool bar, beach, towel; pay F&B only",daily 06:30-23:00,Free entry monetized via F&B,bestbeachclubsbali.com byrd-house,2026-07-19
Sanur,InterContinental Bali Sanur (fmr Fairmont),Pool Day Pass,5,day_pass,day_pass,[NO DATA],COVERAGE,Official IHG site/concierge,families/couples/luxury,[NO DATA],[NO DATA],"Official product page exists, price not rendered; NOT on Klook; phone check needed",ihg.com dpsps pool-day-pass,2026-07-19
Sanur,Andaz Bali,Sunday Table Brunch @ Fisherman's Club,5,brunch,brunch,"IDR 590,000++ (soft) / 990,000++ (free-flow alcohol) [BLOG 2026]",SEATED,TableCheck/phone/email,couples/families/luxury/expats,"seafood raw bar, AYCE a la carte, pool access, live DJ/sax",Sun 12:00-17:00,2026 price blog-sourced; official confirms venue+booking,balibuddies.com brunch,2026-07-19
Sanur,Hyatt Regency Bali,Sunday Brunch @ Pizzaria,5,brunch,brunch,"IDR 590,000++ (non-alc); alcohol pkgs avail [BLOG 2026]",SEATED,phone/email,families/couples,"Italian+intl, seafood, pizza/pasta, desserts; live acoustic; kids playground",Sun 12:00-15:00,"Official confirms brunch+hours, no price; price from Bali Buddies",balibuddies.com brunch,2026-07-19
Sanur,The Meru Sanur,Family Sunday Brunch @ Arunika,5,brunch,brunch,"IDR 550,000++ (non-alc) / 1,100,000++ (alcohol) [OFFICIAL]",SEATED,TableCheck/WhatsApp/phone,families/couples,"family buffet brunch, live music, poolside",Sun 12:30-15:30,Official; cross-listed on balibeachsanur.com — avoid double-count,themerusanur.com exclusive-offers,2026-07-19
Sanur,InterContinental Bali Sanur (fmr Fairmont),Sunday Lobster Brunch @ Layang Layang/Nyala,5,brunch,brunch,"IDR 555,000++ food (newest) — venue MAY BE TEMPORARILY CLOSED [VERIFIED Jul-2026]",SEATED,Hotel phone,couples/luxury/expats,"buffet + a la carte lobster, raw bar, carving, live entertainment",12:00-15:00,Legacy 490k->555k++ on Chope but flagged temporarily closed; absent from official 2026 channels. Confirm before relying.,thebeatbali.com lobster-brunch,2026-07-19
Sanur,Mercure Resort Sanur,Themed AYCE Buffet Dinner @ Pandawa,4,buffet_dinner,brunch,"IDR 198,000 net (Seafood BBQ Thu/Fri) / 258,000 net (nightly) [OFFICIAL]",SEATED,WhatsApp/hotel site,families/couples/expats,"open buffet + grill/BBQ + desserts, cultural entertainment",18:00-21:00 various nights,DINNER buffet not Sunday brunch; official price,mercureresortsanur.com buffet,2026-07-19
Sanur,Andaz Bali,Fisherman's Club,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,TableCheck/phone,couples/luxury,"beachfront seafood, ocean views, beach access",dinner 18:00-23:00,CORRECTION: Fisherman's Club is SANUR not Jimbaran,hyatt.com andaz fishermans-club,2026-07-19
Sanur,InterContinental Bali Sanur (fmr Fairmont),Pier Eight,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,WhatsApp/email; Chope,couples/luxury/families,"BEACHFRONT (Semawang), Western+Asian fusion, live music, Sat fire dance",11:00-22:00,CORRECTION: Pier Eight is InterContinental SANUR not Jimbaran,balisanur.intercontinental.com dining,2026-07-19
Sanur,InterContinental Bali Sanur (fmr Fairmont),Nyala Beach Club & Grill,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,WhatsApp; Chope,couples/families,"Mediterranean grill, poolside; hosts lobster brunch",11:00-18:00,Official IC Sanur dining,balisanur.intercontinental.com dining,2026-07-19
Sanur,The Meru Sanur,Arunika,5,resort_restaurant,resort_restaurant,3-course IDR 400k; a la carte from 95k; 4-course 650k [OFFICIAL],SEATED,TableCheck/Chope/WhatsApp/phone,families/couples,"all-day dining, local+intl, live stations, garden pool",bfast 06:30-10:30; all-day 12:00-23:00,Official; all-day (not strict fine-dining),themerusanur.com arunika,2026-07-19
Sanur,The Meru Sanur,Roso,5,resort_restaurant,resort_restaurant,"Rasa Nusa Fri IDR 650,000++; family set from 500k [OFFICIAL]",SEATED,TableCheck/hotel,couples/families/expats,"Indonesian/heritage, themed dinners",Fri 18:00-21:00,"Cross-listed balibeachsanur.com — attribution unclear, verify",themerusanur.com exclusive-offers,2026-07-19
Sanur,Hyatt Regency Bali,Omang Omang,5,resort_restaurant,resort_restaurant,bfast buffet IDR 320k++; BBQ Fri/Sat 620k++ [OFFICIAL],SEATED,TableCheck/phone/email,families/couples,"signature Indonesian & grill, poolside","bfast 06:30-11:00, lunch-dinner to 23:00",Official; Hyatt signature Indonesian,hyatt.com omang-omang,2026-07-19
Sanur,Hyatt Regency Bali,Pizzaria,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,phone/email,families/couples,"Italian, BEACHFRONT",11:00-23:00,Official; beachfront; hosts Sunday brunch,hyatt.com pizzaria,2026-07-19
Sanur,Maya Sanur Resort & Spa,Mayasari,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,phone/WhatsApp/email (no TableCheck/Chope),couples/luxury,"signature, floating gazebo seating, intl/local; not beachfront",bfast 07:00-11:00; rest [NO DATA],Official; Maya has NO day pass (confirmed),mayaresorts.com maya-sari,2026-07-19
Sanur,Maya Sanur Resort & Spa,Tree Bar,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,direct phone/WhatsApp,couples/expats,BEACHFRONT Mediterranean beach restaurant & bar,07:00-22:00,Official beachfront outlet; also Kuu (izakaya) & Rue (brunch/fusion),mayaresorts.com restaurant,2026-07-19
Sanur,Puri Santrian,Beach Club Restaurant,4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,online inquiry form (24h),families/couples,"bistro between two pools, ocean terrace, bfast buffet+live cooking, themed dinners",daily 06:30-23:30,Official; no instant online system,santrian.com beach-club-restaurant,2026-07-19
Sanur,"Bali Beach Hotel, Heritage Collection (fmr Grand Inna)",Bali Beach Bar & Grill,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,hotel/WhatsApp/Linktree,families/couples,beachfront seafood & grill,17:00-22:00 (weather),Restored historic tower reopened 2024 (InJourney); shares estate+F&B w/ The Meru,balibeachsanur.com dining,2026-07-19
Sanur,Sudamala Resort Sanur,ARES Restaurant,4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Chope/phone/WhatsApp,couples/expats,"Balinese/Indonesian+intl, all-day, garden/poolside",all-day [NO DATA],Official; Chope confirmed; boutique inland,sudamalaresorts.com ares,2026-07-19
Sanur,Prama Sanur Beach,Basilico Italian Pavilion,5,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,direct email/phone (no TableCheck/Chope),couples/families,"authentic Italian, BEACHFRONT pavilion, wood-fired pizza",[NO DATA],Official; beachfront; direct booking only,pramahotels.com basilico,2026-07-19
Sanur,Prime Plaza Hotel Sanur (fmr Sanur Paradise Plaza),Sanur Harum,4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,direct phone/WhatsApp/email,families/couples,Indonesian/Pan-Asian; NOT beachfront (inland garden),"bfast 06:30-10:30, dinner 18:00-23:00",DEDUPE: = former Sanur Paradise Plaza (same hotel),spph.pphotels.com sanurharum,2026-07-19
Sanur,Mercure Resort Sanur,Pandawa Restaurant,4,resort_restaurant,resort_restaurant,a la carte [NO DATA],SEATED,Dish Cult (Accor) + WhatsApp,families/couples,"BEACHFRONT all-day, European & Asian",daily 06:30-23:00,Official; non-guest bookable via Dish Cult,dishcult.com pandawa,2026-07-19
Sanur,Tandjung Sari,The Restaurant at Tandjung Sari,4,resort_restaurant,resort_restaurant,a la carte [NO DATA] official (~USD40pp blog est),SEATED,WhatsApp/phone (no online system),couples/luxury/heritage,Indonesian+intl/seafood; beachfront wantilan & tables on sand,daily 06:30-23:00,Heritage boutique (est 1962); NOT Café Batujimbar,tandjungsarihotel.com dining,2026-07-19
Seminyak,W Bali Seminyak,WET pool / WooBar day access,5,day_pass,day_pass,"free entry; daybed min-spend IDR 2,000,000++ up to 4pax; towel 40k [BLOG]",COVERAGE,DayPass app/walk-in,party/couples/SG-KR,pool access + daybed; min-spend redeemable,10:00-01:00,other sources quote 1-1.5M single daybed; verify,tripcanvas.co day-pass,2026-07-19
Seminyak,W Bali Seminyak,Starfish Bloo Sunday Brunch,5,brunch,brunch,"IDR 950,000++ pp (soft); tiers to ~3,200,000++ (champagne); child 475,000++ [BLOG]",SEATED,TableCheck/hotel,couples/party,buffet + pool access; upper tiers free-flow,Sun 12:00-15:30,base confirmed Honeycombers Jan 2026,thehoneycombers brunch,2026-07-19
Seminyak,W Bali Seminyak,Starfish Bloo / Fire / WooBar,5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck/walk-in,couples/party,Pan-Asian beachfront; grill; cocktails,to late,a la carte not verified,balibuddies.com,2026-07-19
Seminyak,The Legian Seminyak,The Restaurant (signature),5,resort_restaurant,resort_restaurant,"mains from IDR 320,000++ [BLOG]",SEATED,Chope/hotel,upscale/special-occasion,Asian-influenced fine dining; beachfront/pool views,07:00-22:00,most formal in-hotel signature,thehoneycombers seminyak,2026-07-19
Seminyak,Alila Seminyak,Seasalt Coastal Sunday Brunch,5,brunch,brunch,"IDR 650,000++ per adult (drinks extra) [BLOG]",SEATED,TableCheck,upscale/couples/families,"unlimited-to-order seafood & veg, welcome drink, live music",Sun 12:00-15:00,official page no price; legacy 2018 was 485k++,thehoneycombers brunch,2026-07-19
Seminyak,Alila Seminyak,Seasalt (signature seafood),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,TableCheck,upscale/couples,signature beachfront seafood/beach-club vibe,lunch-dinner,signature = Seasalt,hyatt.com alila-seminyak seasalt,2026-07-19
Seminyak,The Oberoi Bali,Kura Kura (signature),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,hotel,upscale/couples,thatched ocean-view fine dining; Frangipani daytime,Kura Kura 18:00-22:30,prices not verified,oberoihotels.com bali restaurants,2026-07-19
Seminyak,Double-Six Luxury Hotel,The Plantation Grill (signature),5,resort_restaurant,resort_restaurant,[NO DATA],SEATED,plantationgrillbali.com/hotel,couples/party/upscale,"colonial-glam grill/steakhouse; 1,700m2 rooftop sunset bar w/ pods",rooftop 17:00-23:00,set dinners via Luxury Escapes,double-six.com/dining plantation-grill,2026-07-19
Seminyak,Grand Seminyak (ex-Anantara),Day Pass with Afternoon Tea,5,day_pass,day_pass,US$30.65 regular / US$37.46 deluxe pp [BLOG],COVERAGE,Pelago,couples/SG-KR,"rooftop pool, daybed subject to availability, towel + afternoon tea",15:00-18:00,rebranded Anantara->Grand Seminyak Nov 2023,pelago.com anantara-seminyak-afternoon-tea,2026-07-19
Seminyak,Grand Seminyak (ex-Anantara),MoonLite Kitchen & Bar (rooftop),5,resort_restaurant,resort_restaurant,3-course set US$34.45; Afternoon Tea US$38.25 [OFFICIAL],SEATED,Klook/Chope/hotel,couples/party,"rooftop Asian/Indonesian, Indian Ocean sunset",afternoon-late,set-menu prices are Klook live listings,klook.com/activity/141996,2026-07-19
Seminyak,Grand Seminyak (ex-Anantara),MoonLite Sky Brunch (Sunday),5,brunch,brunch,[NO DATA],SEATED,grandseminyak.com/Klook,couples/party,rooftop Sunday 'Sky Brunch',Sunday,confirmed to exist; price not verified,balinews.co.id sky-brunch,2026-07-19
