STATUS,priority,district,venue,product,what_to_verify,current_value_we_have,how_to_check,CONFIRMED_value,CONFIRMED_by,date
,P2,Tanjung Benoa,Holiday Inn Resort Bali Benoa,Nudi's Beach Bar & Restaurant,No price published — get the current price (or confirm the product exists).,[NO DATA],direct (no online),,,
,P2,Tanjung Benoa,Hotel Nikko Bali Benoa Beach,Giorgio (Italian signature),No price published — get the current price (or confirm the product exists).,[NO DATA],direct/phone (no online),,,
,P2,Tanjung Benoa,Hotel Nikko Bali Benoa Beach,NAGISA Izakaya (Japanese),No price published — get the current price (or confirm the product exists).,[NO DATA],direct/phone,,,
,P2,Tanjung Benoa,Sadara Boutique Beach Resort,Santai Beach House (beachfront),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope,,,
,P2,Tanjung Benoa,The Sakala Resort Bali,Sakala Beach Club (beachfront dining),No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope + TableCheck + phone,,,
,P2,Ubud,Bisma Eight,Copper Kitchen & Bar (Rooftop),No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/walk-in,,,
,P2,Ubud,Buahan a Banyan Tree Escape,Open Kitchen,No price published — get the current price (or confirm the product exists).,[NO DATA],phone/email,,,
,P2,Ubud,COMO Uma Ubud (Uma Cucina),Uma Cucina (a la carte),No price published — get the current price (or confirm the product exists).,[NO DATA] set price,Chope,,,
,P2,Ubud,Capella Ubud (Auriga),Auriga (main dining),No price published — get the current price (or confirm the product exists).,[NO DATA],Capella concierge/WhatsApp,,,
,P2,Ubud,Four Seasons Sayan (Ayung Terrace),Ayung Terrace,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/OpenTable,,,
,P2,Ubud,Four Seasons Sayan (Sokasi),Sokasi Farmer's Sunday Brunch,No price published — get the current price (or confirm the product exists).,[NO DATA] price,concierge/email,,,
,P2,Ubud,Hanging Gardens of Bali,Pool + Dinner + Spa Day Pass,No price published — get the current price (or confirm the product exists).,~USD 140/pax via ResortPass bundle; pool-only [NO DATA],ResortPass/DayPass/WhatsApp,,,
,P2,Ubud,Samsara Ubud (The Kelusa),The Kelusa,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel,,,
,P2,Ubud,Viceroy Bali (CasCades),CasCades Restaurant & Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/OpenTable/Pelago,,,
,P2,Uluwatu,Alila Villas Uluwatu,CIRE / Sunset Cabana Bar,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/concierge,,,
,P2,Uluwatu,Anantara Uluwatu,360 Rooftop,No price published — get the current price (or confirm the product exists).,[NO DATA],Chope/phone,,,
,P2,Uluwatu,Bulgari Resort Bali,Il Ristorante (Niko Romito) / La Spiaggia,No price published — get the current price (or confirm the product exists).,[NO DATA],concierge/hotel,,,
,P2,Uluwatu,Radisson Blu Bali Uluwatu,Filini (Italian),No price published — get the current price (or confirm the product exists).,[NO DATA],Chope,,,
,P2,Uluwatu,Renaissance Bali Uluwatu,Infinity Pool Day Pass,No price published — get the current price (or confirm the product exists).,[NO DATA]; brief ~IDR 350k/US$24 unverified,Klook,,,
,P2,Uluwatu,Renaissance Bali Uluwatu,Rii (rooftop) / Fishbone,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/Marriott,,,
✅ VERIFIED Jul-2026,P2,Uluwatu,Single Fin,Cliff sunset bar (Suluban),No price published — get the current price (or confirm the product exists).,"no entry fee; seat min-spend [NO DATA]; pizza 145-175k, pours 150k [OFFICIAL]",SevenRooms/email/WhatsApp,CONFIRMED: no entry; bar/general seating no min; premium seats carry min; busy Sun sunset,bestbeachclubsbali Sep-2025 + elsky Jun-2026,2026-07-19
,P2,Uluwatu,Six Senses Uluwatu,Infinity pool day pass,No price published — get the current price (or confirm the product exists).,"IDR 300,000++ incl 230,000 credit [LEGACY 2022, expired]; current [NO DATA]",hotel email/phone,,,
,P2,Uluwatu,Six Senses Uluwatu,Cliff Bar / Rocka,No price published — get the current price (or confirm the product exists).,[NO DATA],Chope/hotel,,,
,P2,Uluwatu,The Edge Bali (Oneeighty),oneeighty° restaurant,No price published — get the current price (or confirm the product exists).,a la carte [NO DATA],Chope/WhatsApp,,,
✅ VERIFIED Jul-2026,P2,Uluwatu,Ulu Cliffhouse,Cliff pool club (Padang Padang),No price published — get the current price (or confirm the product exists).,seat min-spend not fixed publicly [NO DATA]; +10% tax +11% svc,ResDiary/WhatsApp,CONFIRMED: free entry + bar walk-in; daybed min ~700k wkday / 1.2M wkend,bestbeachclubsbali + elsky Jul-2026,2026-07-19
,P2,Uluwatu,Umana Bali LXR (ex-Banyan Tree Ungasan),Infinity Pool Pass + Romantic Dinner,No price published — get the current price (or confirm the product exists).,[NO DATA] Klook non-rendering,Klook,,,
,P2,Uluwatu,Umana Bali LXR (ex-Banyan Tree Ungasan),Ju-Ma-Na / Bamboo,No price published — get the current price (or confirm the product exists).,[NO DATA],hotel/concierge,,,
✅ VERIFIED Jul-2026,P3,Canggu,Atlas Beach Fest,Atlas Beach Club,Re-confirm the current price at source.,"entry IDR 100,000 [BLOG]; seat min-spend 500k-1.5M standard, VIP 2-9M, VVIP 4-15M [OFFICIAL reseller]",own site + Klook + GetYourGuide,CONFIRMED: paid entry ~IDR100–150k (non-redeemable); seat min from ~500k redeemable,explorethebali Nov-2025 + trvlogue 2026,2026-07-19
,P3,Canggu,COMO Uma Canggu (COMO Beach Club),COMO Beach Club (a la carte),Re-confirm the current price at source.,"daybed min-spend ~IDR 500,000 [BLOG]; official no seat price",Chope/WhatsApp,,,
✅ VERIFIED Jul-2026,P3,Canggu,FINNS,FINNS Beach Club (general/daybeds),Re-confirm the current price at source.,"no entry, NO official min-spend [OFFICIAL]; premium loungers ~2.5-3.2M before 1pm [BLOG]",bookings.finnsbeachclub.com ONLY,CONFIRMED: free entry + general seating no min; reserved daybeds carry min ~IDR1.1M+ (redeemable),finnsbeachclub.com FAQ 2026,2026-07-19
,P3,Canggu,MASONRY,MASONRY Grill & Bar,Re-confirm the current price at source.,"large plates from IDR 140,000++ [BLOG]",WhatsApp,,,
,P3,Canggu,Numero Quattro,Numero Quattro,Re-confirm the current price at source.,"mains from IDR 135,000++ [BLOG]",E-Restaurants,,,
,P3,Canggu,Penny Lane,Penny Lane,Re-confirm the current price at source.,"~IDR 300,000/pax [BLOG]",Chope,,,
,P3,Canggu,Shelter,Shelter Pererenan,Re-confirm the current price at source.,"mains from IDR 110,000++ [BLOG]",SevenRooms,,,
✅ VERIFIED Jul-2026,P3,Canggu,The Lawn,The Lawn Canggu,Re-confirm the current price at source.,no entry; min-spend chairs/beanbags 350k/pax; sofa 1M; daybeds 2.5M/table [BLOG],projectblack.co/WhatsApp,CONFIRMED: no entry; free lounge seating; reserved chairs ~350k / daybed ~2.5M,elsky Jun-2026,2026-07-19
,P3,Jimbaran,AYANA Resort (Dava),Dava Restaurant,Re-confirm the current price at source.,"3-course set IDR 865,000 [BLOG]",hotel/TableCheck,,,
,P3,Jimbaran,AYANA Resort (Rock Bar),Rock Bar,Re-confirm the current price at source.,min-spend by seat: Counter 300k; Tapas 350k; Dinner 550k; Daybed 1M/seat; Sofa 4.5M/seat [BLOG],TableCheck,,,
,P3,Jimbaran,Four Seasons Jimbaran (Sundara),Sundara Beach Club — Daybed,Price is stale/legacy — get the current one.,"IDR 2,500,000++ /daybed (2 pax); +1,000,000++ extra [OFFICIAL]",hotel form/WhatsApp/Klook,,,
,P3,Jimbaran,InterContinental Bali Resort,Sunday Brunch + pool (Silver/Gold/Platinum),Re-confirm the current price at source.,"Silver 650k++; Gold 995k++; Platinum 1,195k++ [BLOG]",direct,,,
,P3,Nusa Dua,Ayodya Resort Bali,Day Pass,Re-confirm the current price at source.,"IDR 150,000 net/adult; child 75,000 [BLOG]",WhatsApp/official (direct),,,
,P3,Nusa Dua,CANNA Nusa Dua (standalone day club),Daybed min-spend seating,Re-confirm the current price at source.,"Deck Daybed from IDR 550,000 min-spend(1)/1,000,000(2); Pool Deck 850,000(1)/1,500,000(2); Sands Cabana 2,000,000(4) ++ [BLOG]",TableCheck + Klook/GYG/Traveloka,,,
,P3,Nusa Dua,Club Med Bali,All-Inclusive Day Pass,Re-confirm the current price at source.,Day AUD 127.85 adult; Day+Eve AUD 213.09; ~IDR 1.26-1.57M/adult [BLOG],Klook (channel taken); passport required,,,
,P3,Nusa Dua,Hilton Bali Resort,A Day in Paradise (day-use pkg),Re-confirm the current price at source.,"IDR 1,700,000 (~USD 107) [BLOG]",direct Tour Desk,,,
,P3,Nusa Dua,Merusaka Nusa Dua (ex-INAYA Putri Bali),Pool Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 200,000 net/person; <5 free [BLOG]",WhatsApp (direct),,,
,P3,Nusa Dua,Nusa Dua Beach Hotel & Spa (Handwritten Collection),Beach & Pool Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 450,000 net/adult; child 6-12 225,000; <6 free [BLOG]",direct/WhatsApp (not on DayPass),,,
,P3,Nusa Dua,Paradisus by Melia Bali (ex-Melia Bali),Pool & Beach Day Pass,Re-confirm the current price at source.,"IDR 500,000/adult tax incl; kids 0-11 50% [BLOG]",DayPass app / Megatix / direct,,,
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Day Escape (day pass),Re-confirm the current price at source.,"IDR 350,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Culinary Escape (day pass),Re-confirm the current price at source.,"IDR 550,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Signature Escape (day pass),Re-confirm the current price at source.,"IDR 800,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Serenity Escape (day pass),Re-confirm the current price at source.,"IDR 1,300,000 [BLOG/DayPass]",DayPass app,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
✅ VERIFIED Jul-2026,P3,Nusa Dua,Sofitel Bali Nusa Dua,Cucina Sunday Brunch,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 888,000++/adult; child 6-12 388,000++; <6 free [OFFICIAL]",ResDiary + WhatsApp,"CONFIRMED: free entry; generally NO minimum (event days ticketed) — earlier ""daybed min"" was overstated",bestbeachclubsbali no-min roundup 2025,2026-07-19
,P3,Nusa Dua,The Laguna (Luxury Collection),Sunday Beach & BBQ Brunch @ Arwana,Re-confirm the current price at source.,"IDR 650,000 net/person [BLOG]",Chope/phone/email,,,
,P3,Nusa Dua,The Mulia & Mulia Resort,Soleil Sunday Brunch,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 1,136,190 nett/adult; kids 6-11 482,790; <6 free [BLOG]",EatApp; direct email/WhatsApp,,,
,P3,Nusa Dua,The Westin Resort Nusa Dua,Wellness Day (day pass),Re-confirm the current price at source.,"IDR 600,000 [BLOG/DayPass]",DayPass app,,,
,P3,Nusa Dua,The Westin Resort Nusa Dua,Seaside Afternoon Tea (day pass),Re-confirm the current price at source.,"IDR 464,000 [BLOG/DayPass]",DayPass app,,,
,P3,Nusa Dua,The Westin Resort Nusa Dua,Sea Sip & Savor (day pass),Re-confirm the current price at source.,"IDR 695,750 [BLOG/DayPass]",DayPass app,,,
,P3,Nusa Dua,The Westin Resort Nusa Dua,Ultimate Dine & Dive (day pass),Re-confirm the current price at source.,"IDR 968,000 [BLOG/DayPass]",DayPass app,,,
,P3,Nusa Dua,The Westin Resort Nusa Dua,Sunday Brunch @ Ikan,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 695,000/person; <6 free [BLOG]",Chope + WhatsApp + Marriott,,,
,P3,Sanur,Andaz Bali,Sunday Table Brunch @ Fisherman's Club,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 590,000++ (soft) / 990,000++ (free-flow alcohol) [BLOG 2026]",TableCheck/phone/email,,,
,P3,Sanur,Hyatt Regency Bali,Sunday Brunch @ Pizzaria,Re-confirm the current price at source.,"IDR 590,000++ (non-alc); alcohol pkgs avail [BLOG 2026]",phone/email,,,
,P3,Seminyak,Alila Seminyak,Seasalt Coastal Sunday Brunch,Price is stale/legacy — get the current one.,"IDR 650,000++ per adult (drinks extra) [BLOG]",TableCheck,,,
,P3,Seminyak,Grand Seminyak (ex-Anantara),Day Pass with Afternoon Tea,Re-confirm the current price at source.,US$30.65 regular / US$37.46 deluxe pp [BLOG],Pelago,,,
,P3,Seminyak,Ku De Ta Bali,Daybed min-spend,Re-confirm the current price at source.,"IDR 2,400,000 (100% F&B-redeemable) ++ [BLOG]",kudeta.com/WhatsApp/Klook,,,
,P3,Seminyak,La Plancha,Beach beanbags (sunset),Re-confirm the current price at source.,"~IDR 200,000/pax min-spend peak [BLOG]",walk-in; Chope for balcony,,,
,P3,Seminyak,Mama San,Signature dinner,Re-confirm the current price at source.,"mains from IDR 160,000++ [BLOG]",SevenRooms,,,
,P3,Seminyak,Mano Beach House,Seating tiers (min-spend),Re-confirm the current price at source.,restaurant 150k; sofa/beanbag 200k; deck 300k; daybed 500k (per pax) [BLOG],manobali.com/Chope/WhatsApp,,,
,P3,Seminyak,Merah Putih,Signature dinner,Re-confirm the current price at source.,"mains from IDR 180,000++ [BLOG]",Chope/phone,,,
,P3,Seminyak,Mrs Sippy Bali,Pool club entry,Re-confirm the current price at source.,"IDR 150,000/pax (incl towel) [BLOG]",TableCheck/WhatsApp,,,
,P3,Seminyak,Mrs Sippy Bali,Daybeds / cabana (min-spend),Re-confirm the current price at source.,single daybed 750k; 5pax 2.5M; cabana 3M; lounge 10pax 6M [BLOG],TableCheck/WhatsApp,,,
,P3,Seminyak,Peppers Seminyak,Pool day pass,Re-confirm the current price at source.,"IDR 250,000 adult / 125,000 child (6-12) [BLOG]",hotel phone,,,
,P3,Seminyak,The Legian Seminyak,The Restaurant (signature),Re-confirm the current price at source.,"mains from IDR 320,000++ [BLOG]",Chope/hotel,,,
,P3,Seminyak,U Paasha Seminyak,Rooftop pool day pass,Re-confirm the current price at source.,"IDR 250,000 (incl 250,000 F&B credit) [BLOG]",hotel,,,
✅ VERIFIED Jul-2026,P3,Seminyak,W Bali Seminyak,Starfish Bloo Sunday Brunch,Re-confirm the current price at source.,"IDR 950,000++ pp (soft); tiers to ~3,200,000++ (champagne); child 475,000++ [BLOG]",TableCheck/hotel,CONFIRMED: bar walk-in no min; pool daybeds from ~IDR2.0M++ (was understated at 1M),bestbeachclubsbali + balibeachclubpass 2025-26,2026-07-19
,P3,Tanjung Benoa,Conrad Bali,Daycation Day Pass,Re-confirm the current price at source.,"IDR 300,000++/adult [BLOG]; kids 50%",Daycation app (channel taken),,,
,P3,Tanjung Benoa,Holiday Inn Resort Bali Benoa,Fun Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 250,000 net/person; <12 free [OFFICIAL]",WhatsApp (official); DayPass app,,,
,P3,Tanjung Benoa,Hotel Nikko Bali Benoa Beach,Nikko Day Pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 250,000 net/adult (12+); <12 free [BLOG]",WhatsApp (direct); official page exists,,,
,P3,Tanjung Benoa,The Sakala Resort Bali,Sakala Beach Club Day Pass,Price hidden behind Klook — get it direct from the venue.,"adult IDR 290,000; child <12 170,000 [BLOG]",direct call/email; Klook listing,,,
,P3,Ubud,Athaya Ubud,Pool Day Pass,Re-confirm the current price at source.,"IDR 300,000/pax [BLOG]",hotel/WhatsApp,,,
,P3,Ubud,COMO Shambhala Estate (Glow),Glow Sunday Brunch,Re-confirm the current price at source.,"IDR 650,000++/pax; child 325,000++ [BLOG]",Chope,,,
,P3,Ubud,COMO Uma Ubud (Uma Cucina),Uma Cucina Sunday Brunch,Re-confirm the current price at source.,"IDR 400,000++/pax [BLOG]",Chope,,,
,P3,Ubud,Capella Ubud (Api Jiwa),Api Jiwa,Re-confirm the current price at source.,"Omakase IDR 1,500,000++ (12-course); from ~1,150,000++ [BLOG]",WhatsApp/Capella concierge,,,
,P3,Ubud,Chapung SeBali (Jungle Fish),Jungle Fish Pool Bar,Re-confirm the current price at source.,no entry; min F&B 250-350k/pax; daybed 500-800k/2; cave/hanging bed 1.2-2M [BLOG],Klook/WhatsApp,,,
,P3,Ubud,Hujan Locale,a la carte,Re-confirm the current price at source.,"large plates from IDR 140,000++ [BLOG]",hujanlocale.com/booking,,,
,P3,Ubud,Kamandalu Ubud,Awana Pool & Lounge Day Pass,Price is stale/legacy — get the current one.,"IDR 500,000/2pax (or 300,000/1pax) [BLOG]",Klook/hotel,,,
,P3,Ubud,Mozaic,Signature Degustation,Re-confirm the current price at source.,"from IDR 1,100,000++ (6-course ~US$100) [BLOG]",mozaic-bali.com/OpenTable,,,
,P3,Ubud,Nusantara by Locavore,Tasting / a la carte,Re-confirm the current price at source.,"from IDR 450,000 [BLOG]",Revasi,,,
,P3,Ubud,Room4Dessert,Tasting Menu (9-course),Re-confirm the current price at source.,"from IDR 1,090,000++ [BLOG]",room4dessert.com/Dish Cult,,,
,P3,Ubud,Syrco BASE,Tasting Menu,Re-confirm the current price at source.,~US$100-140/pax (~IDR 1.6-2.2M) [BLOG],syrcobase.com,,,
,P3,Ubud,The Kayon Jungle Resort (Wanna Jungle),Wanna Jungle Pool Bar Day Pass,Re-confirm the current price at source.,"IDR 500,000/pax (incl 500,000 F&B credit) [BLOG]",Klook/hotel,,,
,P3,Ubud,The Westin Resort Ubud,Pool Day Pass,Re-confirm the current price at source.,"IDR 150,000/pax (incl 150,000 F&B credit) [BLOG]",hotel/online,,,
,P3,Uluwatu,Alila Villas Uluwatu,Day pass (infinity pool),Re-confirm the current price at source.,"IDR 750,000/pax incl 350,000 F&B credit [BLOG]",hotel/concierge,,,
,P3,Uluwatu,Bulgari Resort Bali,Indulgence Day Experience,Re-confirm the current price at source.,"IDR 5,000,000++ /couple; fully credited to F&B [BLOG]",concierge/hotel,,,
,P3,Uluwatu,Karma Kandara,Karma Beach — day pass,FREE claim — can a non-guest actually walk in? Entry fee? Min-spend on seats? Booking required?,"IDR 800,000/person incl 500,000 credit; beds 800k-1.6M; front-row free; kids<5 free [BLOG]",hotel/concierge,,,
,P3,Uluwatu,Palmilla Beach Club,Cliff/beach pool club (Melasti),Re-confirm the current price at source.,"entry IDR 100,000 (towel+welcome drink, voucher); VIP Sunbed 1M, Sofa 2.5M [BLOG]",walk-in/online,,,
✅ VERIFIED Jul-2026,P3,Uluwatu,Savaya Bali,Cliff day/night club (Pecatu),Re-confirm the current price at source.,"entry IDR 150,000; min-spend Staircase 1.5M/4pax to Cabana 10M/15pax; 100% F&B credit [BLOG]",website/WhatsApp,"CORRECTED: not free — always ticketed ~IDR300–900k by event; ""150k"" outdated",elsky Jun-2026 + savaya.com,2026-07-19
